date,hari,bulan,tahun,komoditas,komoditas_normalisasi,commodity,tipe_pasar,market_type,kategori_kota,harga_rata_rata,harga_terendah,harga_tertinggi,jumlah_pasar,jumlah_sumber_data
2024-04-02,2,4,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11578.13,7500,15000,32,1
2024-01-01,1,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11383.33,6000,15000,30,1
2024-01-30,30,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11397.06,6000,15000,34,1
2024-02-01,1,2,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11515.15,6000,15000,33,1
2024-05-07,7,5,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11375.0,6000,15000,24,1
2024-06-26,26,6,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11863.64,9000,15000,22,1
2024-01-06,6,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11373.53,6000,15000,34,1
2024-06-14,14,6,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11812.5,9000,15000,16,1
2024-04-18,18,4,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11606.06,6000,15000,33,1
2024-05-17,17,5,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11500.0,6000,15000,24,1
2024-05-26,26,5,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11583.33,6000,15000,24,1
2024-01-23,23,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11705.88,8000,15000,34,1
2024-05-19,19,5,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11363.64,6000,15000,22,1
2024-01-13,13,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11400.0,6000,15000,35,1
2024-05-25,25,5,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11391.3,6000,15000,23,1
2024-05-30,30,5,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11600.0,8000,15000,25,1
2024-05-22,22,5,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11521.74,6000,15000,23,1
2024-06-17,17,6,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11937.5,9000,15000,16,1
2024-01-21,21,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11558.82,6000,15000,34,1
2024-02-15,15,2,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11718.75,7000,15000,32,1
2024-05-24,24,5,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11520.0,6000,15000,25,1
2024-06-06,6,6,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11296.3,6000,15000,27,1
2024-06-19,19,6,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,12055.56,9000,15000,18,1
2024-01-10,10,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11281.25,6000,15000,32,1
2024-05-18,18,5,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11320.0,6000,15000,25,1
2024-01-12,12,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11558.82,8000,15000,34,1
2024-05-14,14,5,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11600.0,8000,15000,25,1
2024-04-21,21,4,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11900.0,8000,15000,30,1
2024-05-23,23,5,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11538.46,6000,15000,26,1
2024-06-24,24,6,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11944.44,9000,15000,18,1
2024-01-25,25,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11500.0,6000,15000,34,1
2024-04-06,6,4,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11531.25,6000,15000,32,1
2024-01-09,9,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11424.24,6000,15000,33,1
2024-01-11,11,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11428.57,6000,15000,35,1
2024-01-27,27,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11557.14,6000,15000,35,1
2024-02-02,2,2,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11484.85,6000,15000,33,1
2024-02-05,5,2,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11676.47,6000,15000,34,1
2024-04-16,16,4,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11766.67,8000,15000,30,1
2024-05-28,28,5,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11416.67,6000,15000,24,1
2024-01-14,14,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11323.53,6000,15000,34,1
2024-02-13,13,2,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11640.63,6500,15000,32,1
2024-01-28,28,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11469.7,6000,15000,33,1
2024-07-02,2,7,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11800.0,8000,15000,20,1
2024-01-24,24,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11514.29,6000,15000,35,1
2024-01-31,31,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11781.25,8000,15000,32,1
2024-06-11,11,6,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11764.71,9000,15000,17,1
2024-02-06,6,2,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11529.41,6000,15000,34,1
2024-05-09,9,5,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11400.0,6000,15000,25,1
2024-05-27,27,5,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11520.0,6000,15000,25,1
2024-06-04,4,6,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11655.17,8000,15000,29,1
2024-06-27,27,6,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11950.0,9000,15000,20,1
2024-05-16,16,5,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11777.78,8000,15000,27,1
2024-02-04,4,2,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11573.53,6000,15000,34,1
2024-01-03,3,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11303.03,6000,15000,33,1
2024-07-06,6,7,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11826.32,8700,15000,19,1
2024-05-06,6,5,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11304.35,6000,15000,23,1
2024-01-16,16,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11437.5,6000,15000,32,1
2024-04-05,5,4,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11709.68,8000,15000,31,1
2024-04-24,24,4,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11550.0,8000,15000,20,1
2024-05-11,11,5,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11600.0,6000,15000,25,1
2024-01-02,2,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11287.88,6000,15000,33,1
2024-02-09,9,2,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11544.12,6000,15000,34,1
2024-04-12,12,4,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11531.25,6000,15000,32,1
2024-05-21,21,5,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11541.67,6000,15000,24,1
2024-04-13,13,4,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11516.13,6000,15000,31,1
2024-05-05,5,5,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11631.58,8000,15000,19,1
2024-01-15,15,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11571.43,6000,15000,35,1
2024-01-29,29,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11621.21,6000,15000,33,1
2024-03-02,2,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11500.0,7000,15000,31,1
2024-01-22,22,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11484.85,6000,15000,33,1
2024-02-12,12,2,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11531.25,6000,15000,32,1
